,Country,Price 2014,Affordability Change 2014,Tax Share 2014,Tax Structure 2014,Overall Score 2014,Price 2016,Affordability Change 2016,Tax Share 2016,Tax Structure 2016,Overall Score 2016,Price 2018,Affordability Change 2018,Tax Share 2018,Tax Structure 2018,Overall Score 2018,Price 2020,Affordability Change 2020,Tax Share 2020,Tax Structure 2020,Overall Score 2020
34,Chile,2,0,4.5,3,2.38,2,0,5,4,2.75,3,3,4.5,4,3.63,3,4,4.5,4,3.88
35,China,1,0,1.5,1,0.88,1,0,2,1,1,1, ,2,1,1,1, ,1.5,1,0.88
36,Colombia,1, ,1.5,4,1.63,1, ,1.5,4,1.63,1,0,4.5,4,2.38,1,5,3.5,4,3.38
37,Comoros,1, ,1.5,2,1.13,2,0,0.5,2,1.13,1,0,0.5,2,0.88,0,0,4,2,1.5
38,Congo,0,0,0.5,3,0.88,1,0,0.5,3,1.13,0,5,0.5,3,2.13,1,5,0,2,2
39,Cook Islands, ,5,3,4, , ,5,4,4, , ,0,4,4, , ,0, , , 
40,Costa Rica,2,4,2.5,4,3.13,2,0,2.5,4,2.13,2,0,2.5,4,2.13,3,0,2,4,2.25
41,Croatia,3,4,4,3,3.5,3,3,4,3,3.25,3,0,4,3,2.5,3, ,4.5,3,2.63
42,Cuba, , ,4.5, , , , ,4.5,2, , ,0,4.5,2, , ,0, , , 
43,Cyprus,3,5,4.5,3,3.88,3,5,4.5,3,3.88,3,0,3.5,3,2.38,3,0,3.5,3,2.38
44,Czechia,3,3,4.5,4,3.63,3,2,4.5,4,3.38,3,2,4,4,3.25,3,3,4,3,3.25
45,Côte d'Ivoire,1, ,0,1,0.5,1, ,0,2,0.75,1, ,0,2,0.75,1, ,0,2,0.75
46,Democratic People's Republic of Korea, , ,0,0, , , ,0,0, , , ,0,0, , , ,0,0, 
47,Democratic Republic of the Congo,0, ,1,1,0.5,1,0,0,1,0.5,0,0,0.5,2,0.63,0,0,1.5,2,0.88
48,Denmark,3,3,3.5,4,3.38,3,0,3.5,4,2.63,3,0,3.5,4,2.63,4,0,4,4,3
49,Djibouti,0, ,0, , ,0, ,0,2,0.5, , , , , , ,0, , , 
50,Dominica,1,0,0,4,1.25,1,0,0,4,1.25,1,0,0,4,1.25,1,0,0,4,1.25
51,Dominican Republic,3, ,2.5,4,2.38,3, ,2.5,4,2.38,4,0,1.5,4,2.38,5,0,0.5,4,2.38
52,Ecuador,3,3,3.5,5,3.63,5,5,4,5,4.75,5,5,3.5,4,4.38,5,5,3.5,5,4.63
53,Egypt,1,4,4.5,1,2.63,1,4,4.5,1,2.63,2,3,5,1,2.75,1,0,5,1,1.75
54,El Salvador,2,0,2,4,2,2, ,2,4,2,3,0,1.5,3,1.88,3,1,1.5,3,2.13
55,Equatorial Guinea,0,0,0,2,0.5,1,0,0,2,0.75,0,1,0,2,0.75,1,1,0,1,0.75
56,Eritrea, ,0,2.5,2, , ,1,2.5,2, , ,1,2.5,2, , ,1, , , 
57,Estonia,3,4,4.5,3,3.63,3,0,4.5,4,2.88,3,0,4.5,4,2.88,3,0,5,4,3
58,Eswatini,3, ,1.5, , ,3, ,1.5,5,2.38,3, ,2,4,2.25,3,0,2,5,2.5
59,Ethiopia,1,0,0,2,0.75,0,0,0,2,0.5,0,0,0,2,0.5,1,0,2,3,1.5
60,Fiji,4,0,1,1,1.5,5,0,1,1,1.75,5,4,1,1,2.75,5,5,0.5,1,2.88
61,Finland,3,3,4.5,3,3.38,3,3,4.5,3,3.38,4,3,4.5,3,3.63,4,4,4.5,3,3.88
62,France,4,3,4.5,3,3.63,4,3,4.5,3,3.63,5,2,4.5,3,3.63,5,4,4.5,3,4.13
63,Gabon,1,0,0,2,0.75,1,0,0,2,0.75,1,0,0,2,0.75,1,0,0,2,0.75
64,Gambia,1,5,1.5,4,2.88,1,5,1.5,4,2.88,1,5,1.5,4,2.88,1,4,1.5,4,2.63
65,Georgia,1, ,1.5,1,0.88,1,0,3.5,1,1.38,2,0,3.5,1,1.63,2,4,4.5,4,3.63
66,Germany,3,0,3.5,4,2.63,4,0,3.5,4,2.88,4,0,3.5,4,2.88,4,2,2.5,4,3.13
67,Ghana,1, ,0,2,0.75,1,0,0,2,0.75,1,0,0,2,0.75,1,0,0,2,0.75
68,Greece,3,5,4.5,4,4.13,3,4,4.5,4,3.88,4,3,4.5,4,3.88,4,3,4.5,4,3.88
69,Grenada,2,0,1.5,2,1.38,2, ,1.5,2,1.38,2, ,0.5,2,1.13, , , , , 
70,Guatemala,2,1,1.5,2,1.63,2,0,1.5,2,1.38,2,0,1.5,2,1.38,2, ,1.5,2,1.38
71,Guinea, ,0, , , ,0,0,0,2,0.5, ,0, , , ,0,0,0,2,0.5
72,Guinea-Bissau,0, ,0, , ,1,0,0,2,0.75,1,0,0,2,0.75, ,0, , , 
73,Guyana,1, ,0,2,0.75,1,0,0,2,0.75,1,2,0,4,1.75,1,0,0,4,1.25
74,Haiti, , , , , ,1, ,0,2, , , , , , , , , , , 
75,Honduras,2,4,0.5,5,2.88,2,2,0,5,2.25,2,0,0,5,1.75,2,3,0.5,5,2.63
76,Hungary,4,4,4,3,3.75,4,4,3.5,4,3.88,4,0,3.5,4,2.88,4,0,3.5,4,2.88
77,Iceland,4,4,2,4,3.5,4,0,2,4,2.5,4,0,2,4,2.5,4,0,1.5,4,2.38
78,India,3,0,0.5,1,1.13,4,3,1.5,1,2.38,4,0,1.5,1,1.63,4,0,2,1,1.75
79,Indonesia,2, ,2,1,1.25,2,0,2.5,1,1.38,3,0,2.5,1,1.63,3,3,2.5,1,2.38
80,Iran (Islamic Republic of),0,0,0,0,0,0,0,0,4,1,1,0,0,1,0.5,2,5,0,1,2
81,Iraq,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Ireland,5,0,4,4,3.25,5,0,4,4,3.25,5, ,4,4,3.25,5,0,4.5,4,3.38
83,Israel,4,3,4.5,3,3.63,4,4,4.5,3,3.88,4,3,4.5,3,3.63,4,0,4.5,3,2.88
84,Italy,3,4,4,3,3.5,3,0,4,3,2.5,4,2,4,3,3.25,4,0,4,3,2.75
85,Jamaica,5,1,0.5,4,2.63,5,2,0.5,4,2.88,5,3,0.5,4,3.13,5,3,0.5,4,3.13
86,Japan,2,4,3,1,2.5,2,0,3,1,1.5,2, ,3,1,1.5, ,0,3,4, 
87,Jordan,2,2,4.5,1,2.38,2,3,4.5,1,2.63,3,5,4.5,1,3.38,3,5,4.5,1,3.38
88,Kazakhstan,1,0,0.5,4,1.38,1,4,1.5,4,2.63,1,4,2,4,2.75,1,3,2.5,4,2.63
89,Kenya,1, ,1.5,2,1.13,1, ,1.5,4,1.63,1, ,1.5,1,0.88,2,0,0.5,1,0.88
90,Kiribati,2, ,2,4,2,2,0,1,4,1.75,2,0,1,4,1.75,2,0,1,4,1.75
91,Kuwait,1,1,0,0,0.5,2,1,0,0,0.75,2,1,0,0,0.75, ,1,0,0, 
92,Kyrgyzstan,1,0,0.5,1,0.63,1,0,0.5,1,0.63,1,5,1.5,4,2.88,2,5,2,5,3.5
93,Lao People's Democratic Republic,1,0,0,1,0.5,1,0,0,4,1.25,1, ,0,1,0.5,1, ,0,1,0.5
94,Latvia,3,0,4,4,2.75,3,0,4.5,4,2.88,3,0,4.5,4,2.88,3,0,4.5,4,2.88
95,Lebanon,2,1,1,2,1.5,2,1,1,2,1.5,0,0,1.5,1,0.63,1,0,0,0,0.25
96,Lesotho,3,0,1.5,5,2.38, , , , , ,3,0,1.5,4,2.13,3,0,1.5,5,2.38
97,Liberia,0, ,0, , ,0, ,0,2,0.5,0,0,0,2,0.5,1,5,2.5,4,3.13
98,Libya,2,1,0,0,0.75,1,1,0,0,0.5,1,0,0,0,0.25,1,0,0,0,0.25
99,Lithuania,2,0,4,4,2.5,3,0,4,4,2.75,4,2,3.5,4,3.38,4,2,3.5,4,3.38
100,Luxembourg,3,4,3.5,3,3.38,3,0,3.5,3,2.38,3,0,3.5,3,2.38,3,0,3.5,3,2.38
101,Madagascar,1,0,4.5,2,1.88,2,0,4.5,2,2.13,1,0,4.5,2,1.88,1,0,4.5,2,1.88
102,Malawi,2,5,0,4,2.75, ,0, , , , ,0, , , ,0,0,2.5, , 
103,Malaysia,3,0,3,4,2.5,5,0,2,4,2.75,5,0,2.5,4,2.88,5,0,2,4,2.75
104,Maldives,2,0,2,0,1,2,0,1,0,0.75,4,0,2,0,1.5,5,1,2,0,2
105,Mali,1, ,0,1,0.5,1,0,0,1,0.5,1,0,0,1,0.5,1,0,0,1,0.5
106,Malta,4,0,3.5,4,2.88,4, ,4.5,4,3.13,4, ,4.5,4,3.13,4,0,4.5,4,3.13
107,Marshall Islands,1,0,1.5,0,0.63,1,0,1,0,0.5,1,0,1,0,0.5, ,0,1,0, 
108,Mauritania,2,0,0,2,1,1,0,0,2,0.75,1,0,0,2,0.75,1,0,0,2,0.75
109,Mauritius,3,4,3.5,4,3.63,3,0,3.5,4,2.63,4,0,5,4,3.25,4,0,4.5,4,3.13
110,Mexico,2,3,3.5,3,2.88,2,0,3.5,3,2.13,2,0,3.5,3,2.13,3,0,3.5,3,2.38
111,Micronesia (Federated States of),1,0,1.5,0,0.63,1,1,1.5,0,0.88,1,1,1,0,0.75, ,1,1,0, 
112,Monaco, , , , , , , , , , , , , , , , , , , , 
113,Mongolia,1,0,3.5,4,2.13,1,0,2,4,1.75,1,0,1.5,4,1.63,1,0,1.5,4,1.63
114,Montenegro,2,5,4.5,3,3.63,2,5,3.5,3,3.38,3,5,4.5,3,3.88,3,4,4.5,3,3.63
115,Morocco,2,0,3.5,1,1.63,2,0,3.5,1,1.63,2,0,3.5,4,2.38,2,0,4.5,4,2.63
116,Mozambique,0,3,0,1,1,0,0,0,1,0.25,1,0,0,1,0.5,1,4,0,5,2.5
117,Myanmar,1, ,2.5,2,1.38,1, ,1,1,0.75,1, ,0.5,1,0.63,1,0,2,1,1
118,Namibia,3,0,0.5,4,1.88,3,0,1,4,2,3,0,1,4,2,4,0,0.5,5,2.38
119,Nauru, ,0, , , ,4,0,1,0,1.25,4,0,1,0,1.25, ,1,0.5,0, 
120,Nepal,2,0,0,1,0.75,3,0,0,1,1,3,0,0,1,1,3,0,0,1,1
121,Netherlands,4,3,3.5,5,3.88,4,3,3.5,5,3.88,4,0,3.5,5,3.13,4,0,4,4,3
122,New Zealand,5,4,4.5,5,4.63,5,5,4,5,4.75,5,3,4.5,5,4.38,5,4,4.5,5,4.63
123,Nicaragua,2,0,0, , ,2,0,0.5,4,1.63,2,0,0.5,5,1.88,5,0,3.5,5,3.38
124,Niger,1,0,0,2,0.75,1,0,0.5,2,0.88,0,0,0,2,0.5,0, ,0,2,0.5
125,Nigeria,1, ,0,2,0.75,1, ,0,2,0.75,0, ,0,3,0.75,1,0,1,3,1.25
126,Niue, , ,2.5,0, , , ,2.5,0, , , ,2.5,0, , , ,1.5,0, 
127,North Macedonia,1, ,3.5,4,2.13,1, ,3.5,5,2.38,2,0,4.5,5,2.88,2,3,4.5,4,3.38
128,Norway,5,3,3,4,3.75,5,3,3,4,3.75,5,3,2.5,4,3.63,5,3,2.5,4,3.63
129,Occupied Palestinian territory,5,4,4.5,4,4.38,5,0,4.5,4,3.38,5,0,4.5,4,3.38,5,0,5,4,3.5
130,Oman,1,1,0,0,0.5,2,1,0,0,0.75,2,1,0,0,0.75, ,5,3,2, 
131,Pakistan,0,0,2.5,1,0.88,1,4,3,1,2.25,0,0,2.5,1,0.88,1,0,2.5,1,1.13
132,Palau,2,0,4, , ,3,0,4.5,4,2.88,3,4,4.5,4,3.88, ,3,4.5,4, 
